"datasetID";"supportID";"rexaID";"author";"title";"venue";"year";"window";"mykey"
21;"00FC9ADDA3A0484EF293231F4C3F8395DB067755";"5bc77452a8b6552aed91aa3294068d7110dc54af";"Russell Greiner and Wei Zhou";"Structural Extension to Logistic Regression: Discriminative Parameter Learning of Belief Net Classifiers";"AAAI/IAAI";"2002";"discretization [FI93]. Our accuracy values were based on 5-fold cross validation for small data, and holdout method for large data [Koh95]. See [GZ02],[FGG97] for more information about these datasets. We use the <b>CHESS</b> dataset (36 binary or ternary attributes) to illustrate the basic behaviour of the algorithms. Figure 2(a) shows the performance, on this dataset, of our NB+ELR (""Na¨iveBayes";11
22;"00FC9ADDA3A0484EF293231F4C3F8395DB067755";"5bc77452a8b6552aed91aa3294068d7110dc54af";"Russell Greiner and Wei Zhou";"Structural Extension to Logistic Regression: Discriminative Parameter Learning of Belief Net Classifiers";"AAAI/IAAI";"2002";"discretization [FI93]. Our accuracy values were based on 5-fold cross validation for small data, and holdout method for large data [Koh95]. See [GZ02],[FGG97] for more information about these datasets. We use the <b>CHESS</b> dataset (36 binary or ternary attributes) to illustrate the basic behaviour of the algorithms. Figure 2(a) shows the performance, on this dataset, of our NB+ELR (""Na¨iveBayes";12
60;"00FCD4F8B110D7A81C0BC50BC6872EB10E5AA654";"178fbe6319b02d3cbf96285c713232c47ff6b4dc";"Jochen Garcke and Michael Griebel";"Data mining with sparse grids using simplicial basis functions";"KDD";"2001";"combination technique with linear basis functions. Left: level 4, # = 0.0035. Right: level 8, # = 0.0037 90.6 % and 91.1 % was achieved in [36] and [35], respectively, for this data set. 3.2 6-dimensional problems 3.2.1 BUPA <b>Liver</b> The BUPA Liver Disorders data set from Irvine Machine Learning Database Repository [6] consists of 345 data points with 6 features and a selector field";13
111;"012477CAE382FBE25DE64B94C9BB44C79DB416BC";"4d3a15f17c5158aad69c6133ae41ed25b6e037a6";"Eibe Frank and Stefan Kramer";"Ensembles of nested dichotomies for multi-class problems";"ICML";"2004";"prim.-tumor 339 3.9 0 17 22 segment 2310 0.0 19 0 7 soybean 683 9.8 0 35 19 splice 3190 0.0 0 61 3 vehicle 846 0.0 18 0 4 vowel 990 0.0 10 3 11 waveform 5000 0.0 40 0 3 <b>zoo</b> 101 0.0 1 15 7 Table 1. Datasets used for the experiments differences in accuracy by using the corrected resampled t-test at the 5% significance level. This test has been shown to have Type I error at the significance level and";14
81;"018D686BC93BF0C1216F1A7F8F16A2246B477829";"00b6f77ab5353f8974383e14fbef4cd03a846f8a";"Greg Hamerly and Charles Elkan";"Learning the k in k-means";"NIPS";"2003";"them slow for more than 8 to 12 dimensions. All our code is written in Matlab; X-means is written in C. 3.1 Discovering true clusters in labeled data We tested these algorithms on two real-world datasets for <b>handwritten</b> digit <b>recognition</b>  the NIST dataset [12] and the Pendigits dataset [2]. The goal is to cluster the data without knowledge of the labels and measure how well the clustering captures";15
89;"022F79AD80E8304DD042D646DA09BA8FF6E43DE9";"377a3c79c5b7a108aa16ed38407c81d035a0740d";"Nir Friedman and Daphne Koller";"Being Bayesian about Network Structure";"UAI";"2000";"Edges Figure 2: Comparison of posterior probabilities using true posterior over orderings (x-axis) versus ordering-MCMC (y-axis). The figures show Markov features and Edge features in the <b>Flare</b> dataset with 100 samples. ordering obtained by flipping i j and i k . Now, consider the terms in Eq. (6); those terms corresponding to nodes i ` in the ordering # that precede i j or succeed i k do not";16
2;"02D4ACD2DDAA4D862358ABC571DCD02FC2F36196";"0767f0171b0f74f96978a41f3e947ea91cc9dbd3";"Alexander J. Smola and Vishy Vishwanathan and Eleazar Eskin";"Laplace Propagation";"NIPS";"2003";"# Ä # # # ##Ç # (15) with the joint minimizer being the average of the individual solutions. 5 Experiments To test our ideas we performed a set of experiments with the widely available Web and <b>Adult</b> datasets from the UCI repository [1]. All experiments were performed on a 2.4 MHz 2 Note that we had to replace the equality with set inclusion due to the fact that Ü is not everywhere differentiable, hence";17
59;"034639360A3FEFC40795898E14BC2BBDBCA7EE07";"2f0d669e8358c5a2af27cd538f8b5929dec89b48";"Hirotaka Inoue and Hiroyuki Narihisa";"Incremental Learning with Self-Organizing Neural Grove";"Department of Electrical Engineering and Information Science, Kure National College of Technology";"";"Results We investigate the relation between the number of training data and the classification accuracy, the number of nodes, and the computation time of SONG with bagging for <b>letter recognition</b> dataset in the UCI repository [4]. 2 Hirotaka Inoue and Hiroyuki Narihisa 0.65 0.7 0.75 0.8 0.85 0.9 0.95 1 0 2000 4000 6000 8000 10000 12000 14000 16000 18000 Classification accuracy (%) # of N K=1 K=3 K=5";18
59;"037B89497BBDDCD16AB2A47B6AB2EF8892C5FBEB";"69547b69d3133bba06b4ce74e67e2f3a6366a2f6";"Adil M. Bagirov and Julien Ugon";"An algorithm for computation of piecewise linear function separating two sets";"CIAO, School of Information Technology and Mathematical Sciences, The University of Ballarat";"";"to be known. In further research some methods to find automatically this number will 19 Table 2: Results of numerical experiments with Shuttle control, <b>Letter recognition</b> and Landsat satellite image datasets Training Test |I| |J i | a 2c a mc a 2c a mc fct eval DG eval Shuttle control dataset 1 1 97.61 97.22 97.53 97.00 925 615 2 1 99.44 97.56 99.41 97.42 2148 1676 3 1 99.61 97.57 99.59 97.50 1474 968";19
78;"037B89497BBDDCD16AB2A47B6AB2EF8892C5FBEB";"69547b69d3133bba06b4ce74e67e2f3a6366a2f6";"Adil M. Bagirov and Julien Ugon";"An algorithm for computation of piecewise linear function separating two sets";"CIAO, School of Information Technology and Mathematical Sciences, The University of Ballarat";"";"through successive LP, Journal of Optimization Theory and Applications, 112(2), 265-293. 20 Table 3: Results of numerical experiments with Pen-based recognition of handwritten and <b>Page blocks</b> datasets Training Test |I| |J i | a 2c a mc a 2c a mc fct eval. DG. eval. Pen-based recognition of handwritten dataset 1 1 97.27 96.74 96.43 92.37 1597 1146 2 1 99.31 99.44 98.33 96.14 2607 1852 3 1 99.79";20
81;"037B89497BBDDCD16AB2A47B6AB2EF8892C5FBEB";"69547b69d3133bba06b4ce74e67e2f3a6366a2f6";"Adil M. Bagirov and Julien Ugon";"An algorithm for computation of piecewise linear function separating two sets";"CIAO, School of Information Technology and Mathematical Sciences, The University of Ballarat";"";"Training Test |I| |J i | a 2c a mc a 2c a mc fct eval. DG. eval. <b>Pen-based</b> <b>recognition</b> of <b>handwritten</b> dataset 1 1 97.27 96.74 96.43 92.37 1597 1146 2 1 99.31 99.44 98.33 96.14 2607 1852 3 1 99.79 99.92 98.89 96.20 3040 2220 2 2 99.80 99.95 98.99 96.03 3083 2306 3 2 99.83 99.87 99.12 95.88 1806 1268 3 3";21
88;"037B89497BBDDCD16AB2A47B6AB2EF8892C5FBEB";"69547b69d3133bba06b4ce74e67e2f3a6366a2f6";"Adil M. Bagirov and Julien Ugon";"An algorithm for computation of piecewise linear function separating two sets";"CIAO, School of Information Technology and Mathematical Sciences, The University of Ballarat";"";"accuracy (a mc in Tables 2 and 3) as described above. First accuracy is an indication of separation quality and the second one is an indication of multi-class classification quality. 5.2 Datasets The datasets used are the <b>Shuttle</b> <b>control</b> , the Letter recognition, the Landsat satellite image, the Pen-based recognition of handwritten and the Page blocks classification databases. Table 1";22
146;"037B89497BBDDCD16AB2A47B6AB2EF8892C5FBEB";"69547b69d3133bba06b4ce74e67e2f3a6366a2f6";"Adil M. Bagirov and Julien Ugon";"An algorithm for computation of piecewise linear function separating two sets";"CIAO, School of Information Technology and Mathematical Sciences, The University of Ballarat";"";"to be known. In further research some methods to find automatically this number will 19 Table 2: Results of numerical experiments with Shuttle control, Letter recognition and <b>Landsat</b> <b>satellite</b> image datasets Training Test |I| |J i | a 2c a mc a 2c a mc fct eval DG eval Shuttle control dataset 1 1 97.61 97.22 97.53 97.00 925 615 2 1 99.44 97.56 99.41 97.42 2148 1676 3 1 99.61 97.57 99.59 97.50 1474 968";23
148;"037B89497BBDDCD16AB2A47B6AB2EF8892C5FBEB";"69547b69d3133bba06b4ce74e67e2f3a6366a2f6";"Adil M. Bagirov and Julien Ugon";"An algorithm for computation of piecewise linear function separating two sets";"CIAO, School of Information Technology and Mathematical Sciences, The University of Ballarat";"";"accuracy (a mc in Tables 2 and 3) as described above. First accuracy is an indication of separation quality and the second one is an indication of multi-class classification quality. 5.2 Datasets The datasets used are the <b>Shuttle</b> control , the Letter recognition, the Landsat satellite image, the Pen-based recognition of handwritten and the Page blocks classification databases. Table 1";24
90;"038AFE265B710AAE768EF46FE11F6165F5E614BC";"e3d2f48bca20059ef311938077d747d4f7f7a83a";"Rich Caruana and Alexandru Niculescu-Mizil";"Data Mining in Metric Space: An Empirical Analysis of Supervised Learning Performance Criteria";"ROCAI";"2004";"25 letters as negative, yielding a very unbalanced binary problem. LETTER.p2 uses letters A-M as positives and the rest as negatives, yielding a well balanced problem. HYPER SP is the IndianPine92 data set [4] where the difficult class <b>Soybean</b> mintill is the positive class. SLAC is a problem from collaborators at the Stanford Linear Accelerator and MEDIS is a medical data set. The characteristics of";25
91;"038AFE265B710AAE768EF46FE11F6165F5E614BC";"e3d2f48bca20059ef311938077d747d4f7f7a83a";"Rich Caruana and Alexandru Niculescu-Mizil";"Data Mining in Metric Space: An Empirical Analysis of Supervised Learning Performance Criteria";"ROCAI";"2004";"25 letters as negative, yielding a very unbalanced binary problem. LETTER.p2 uses letters A-M as positives and the rest as negatives, yielding a well balanced problem. HYPER SP is the IndianPine92 data set [4] where the difficult class <b>Soybean</b> mintill is the positive class. SLAC is a problem from collaborators at the Stanford Linear Accelerator and MEDIS is a medical data set. The characteristics of";26
146;"043791193A28E0AB9A971E9EB3C8385A52E64E52";"e550da2f9c24b03fec3cd94563a837e653db1c60";"Xavier Giannakopoulos and Juha Karhunen and Erkki Oja";"An Experimental Comparison of Neural Algorithms for Independent Component Analysis and Blind Separation";"Int. J. Neural Syst, 9";"1999";"methods for real-world data For comparing the performance and properties of the studied ICA or BSS algorithms in more practical circumstances, we made experiments with three dioeerent real-world data sets. These data sets, namely crab data, <b>satellite</b> data, and MEG artefact data, will be brieAEy discussed in context with the respective results in the next section. Because we are now dealing with";27
1;"04403138D62B9878E0FE187F2DF9DE3B905382E9";"7030f724add30a4dd1b1f84109e72675c7e629f6";"Bernhard Pfahringer and Hilan Bensusan and Christophe G. Giraud-Carrier";"Meta-Learning by Landmarking Various Learning Algorithms";"ICML";"2000";"had from 5 to 12 attributes and were classified by simple parity, DNF and CNF rules as well as at random. The 18 Uci data sets were: mushrooms, <b>abalone</b>  crx, sat, acetylation, titanic, waveform, yeast, car, chess(king-rook-vs-king), led7, led24, tic-tac-toe, monk1, monk2, monk3, satimage, quisclas. The performance of every";28
151;"04AEEC0F75282321D73274BB42BD6C2FEAB629D3";"43019420b94637b63ac4fc3f94f64abd11b64f0a";"Perry Moerland";"Mixtures of latent variable models for density estimation and classification";"E S E A R C H R E P R O R T I D I A P D a l l e M o l l e I n s t i t u t e f o r Pe r cep t ua l A r t i f i c i a l Intelligence ";"";"classifiers with Mfas are in Table 9. The set-up was as with the Bayesian Mpcas and again the Ml scores have been copied from Table 6. For the high-dimensional NIST, optical, <b>sonar</b>  and soybean data sets, a lower value of ` was chosen both for Mpcas and Mfas. This was done partly to save computation time and partly to avoid problems with the cheap and cheerful approximation already outlined in";29
33;"04AEEC0F75282321D73274BB42BD6C2FEAB629D3";"43019420b94637b63ac4fc3f94f64abd11b64f0a";"Perry Moerland";"Mixtures of latent variable models for density estimation and classification";"E S E A R C H R E P R O R T I D I A P D a l l e M o l l e I n s t i t u t e f o r Pe r cep t ua l A r t i f i c i a l Intelligence ";"";"was used by imposing a small threshold of 0.01 upon the values of R j for Mfas and upon the variance parameters for a diagonal Gmm; this was done for the <b>dermatology</b>  NIST, optical, and soybean data sets. 7.2 Experiments: Real-World Data The results of the experiments with Bayes classifiers are listed in Table 6, where the best method and the ones that are not significantly worse (90% on the 5x2cv";30
52;"04AEEC0F75282321D73274BB42BD6C2FEAB629D3";"43019420b94637b63ac4fc3f94f64abd11b64f0a";"Perry Moerland";"Mixtures of latent variable models for density estimation and classification";"E S E A R C H R E P R O R T I D I A P D a l l e M o l l e I n s t i t u t e f o r Pe r cep t ua l A r t i f i c i a l Intelligence ";"";"different models by specifying the total number of underlined scores for each model class. This number of wins shows that Mfas are the best density estimators. They are outperformed on only three data sets (cancer, <b>ionosphere</b>  and vowel) out of 18. With respect to the spherical Gmms, the score of only 1 win illustrates that they are too constrained to model the data. From the results, one can also";31
81;"04AEEC0F75282321D73274BB42BD6C2FEAB629D3";"43019420b94637b63ac4fc3f94f64abd11b64f0a";"Perry Moerland";"Mixtures of latent variable models for density estimation and classification";"E S E A R C H R E P R O R T I D I A P D a l l e M o l l e I n s t i t u t e f o r Pe r cep t ua l A r t i f i c i a l Intelligence ";"";"of the ten digit classes with a 10-component 10-factor Mfa. This is comparable to the best scores we obtained with large Mlps. 7.3 Experiments: MNIST Data We also performed experiments on the MNIST data set, a large collection of <b>handwritten</b> <b>digits</b> which can be obtained from (LeCun 2000). It comes as 28#28 grey level images in a training set of 60,000 examples and a test set of 10,000 examples. Each of";32
90;"04AEEC0F75282321D73274BB42BD6C2FEAB629D3";"43019420b94637b63ac4fc3f94f64abd11b64f0a";"Perry Moerland";"Mixtures of latent variable models for density estimation and classification";"E S E A R C H R E P R O R T I D I A P D a l l e M o l l e I n s t i t u t e f o r Pe r cep t ua l A r t i f i c i a l Intelligence ";"";"was used by imposing a small threshold of 0.01 upon the values of R j for Mfas and upon the variance parameters for a diagonal Gmm; this was done for the dermatology, NIST, optical, and <b>soybean</b> data sets. 7.2 Experiments: Real-World Data The results of the experiments with Bayes classifiers are listed in Table 6, where the best method and the ones that are not significantly worse (90% on the 5x2cv";33
91;"04AEEC0F75282321D73274BB42BD6C2FEAB629D3";"43019420b94637b63ac4fc3f94f64abd11b64f0a";"Perry Moerland";"Mixtures of latent variable models for density estimation and classification";"E S E A R C H R E P R O R T I D I A P D a l l e M o l l e I n s t i t u t e f o r Pe r cep t ua l A r t i f i c i a l Intelligence ";"";"was used by imposing a small threshold of 0.01 upon the values of R j for Mfas and upon the variance parameters for a diagonal Gmm; this was done for the dermatology, NIST, optical, and <b>soybean</b> data sets. 7.2 Experiments: Real-World Data The results of the experiments with Bayes classifiers are listed in Table 6, where the best method and the ones that are not significantly worse (90% on the 5x2cv";34
2;"04E10F745A7267453788A22F5150B5A32B2B3951";"4284c9cb6236847cd246f69cfb8e4209c107d18f";"Bianca Zadrozny and Charles Elkan";"Transforming classifier scores into accurate multiclass probability estimates";"KDD";"2002";"# x### s # : the number of examples with score s that belong to class c divided by the total number of examples 0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 <b>Adult</b> Dataset NB Score Empirical class membership probability 8941 790 610 450 480 532 477 620 672 2710 0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1 The Insurance Company";35
125;"04E10F745A7267453788A22F5150B5A32B2B3951";"4284c9cb6236847cd246f69cfb8e4209c107d18f";"Bianca Zadrozny and Charles Elkan";"Transforming classifier scores into accurate multiclass probability estimates";"KDD";"2002";"PAV to binning with bin sizes varying from 5 to 50. Although we did not have to set any parameters for the PAV method, it performed comparably to the best parameter setting for binning. The next dataset we use is The <b>Insurance</b> <b>Company</b> <b>Benchmark</b> (TIC), also known as the COIL 2000 dataset, which is available in the UCI KDD repository [3]. The decision-making task is analogous to the KDD-98 task:";36
137;"04E10F745A7267453788A22F5150B5A32B2B3951";"4284c9cb6236847cd246f69cfb8e4209c107d18f";"Bianca Zadrozny and Charles Elkan";"Transforming classifier scores into accurate multiclass probability estimates";"KDD";"2002";"estimates using a sigmoid function. rate class membership probability estimates, while being faster. The same method can be applied to naive Bayes. This was proposed by Bennett [4] for the <b>Reuters</b> dataset. In Figure 4 we show the sigmoidal fit to the naive Bayes scores for the Adult and TIC datasets. The sigmoidal shape does not appear to fit naive Bayes scores as well as it fits SVM scores, for";37
151;"0569091048E5B843360B308832B0B68069E88765";"a9f4b48c1d04a8a7ee0f1806f81fc670e653c058";"Perry Moerland and E. Fiesler and I. Ubarretxena-Belandia";"Martigny - Valais - Suisse Discrete All-Positive Multilayer Perceptrons for Optical Implementation";"E S E A R C H R E P R O R T I D I A P";"1997";"implementation. eXclusive OR (XOR) The training set consists of the boolean exclusive OR function. It is the classical example of a simple problem that is not linearly separable [12]. <b>Sonar</b> This data set was originally used by R. Gorman and T. Sejnowski in their study of the classification of sonar signals using a neural network. The task is to discriminate between sonar signals bounced off a metal";38
14;"058E5056FB1ACE262D0F5A1F0EC0F137248D7BC0";"e8eb0092d0fc87ff35447cec823b43a406ac8372";"G. Ratsch and B. Scholkopf and Alex Smola and K. -R Muller and T. Onoda and Sebastian Mika";"Arc: Ensemble Learning in the Presence of Outliers";"GMD FIRST";"";"[17] explains the good generalization performance of AdaBoost in the low noise regime. However, AdaBoost performs worse on noisy tasks [10, 11], such as the iris and the <b>breast</b> <b>cancer</b> benchmark data sets [1]. On the latter tasks, a large margin on all training points cannot be achieved without adverse effects on the generalization error. This experimental observation was supported by the study of";39
53;"058E5056FB1ACE262D0F5A1F0EC0F137248D7BC0";"e8eb0092d0fc87ff35447cec823b43a406ac8372";"G. Ratsch and B. Scholkopf and Alex Smola and K. -R Muller and T. Onoda and Sebastian Mika";"Arc: Ensemble Learning in the Presence of Outliers";"GMD FIRST";"";"[17] explains the good generalization performance of AdaBoost in the low noise regime. However, AdaBoost performs worse on noisy tasks [10, 11], such as the <b>iris</b> and the breast cancer benchmark data sets [1]. On the latter tasks, a large margin on all training points cannot be achieved without adverse effects on the generalization error. This experimental observation was supported by the study of";40
45;"05B0846409BEC99AA49302D5C59278D3504620C2";"a11c91c5cf02794b7d1d4bdc0222b3c11dce9cac";"David Page and Soumya Ray";"Skewing: An Efficient Alternative to Lookahead for Decision Tree Induction";"IJCAI";"2003";"Skewing ID3, No Skewing Figure 8: Five-Variable Hard Targets 50 60 70 80 90 100 200 400 600 800 1000 Accuracy (%) Sample Size ID3 with Skewing ID3, No Skewing Figure 9: Six-Variable Hard Targets Data Set Standard ID3 ID3 with Skewing <b>Heart</b> 71.9 74.5 Voting 94.0 94.2 Voting-2 87.4 88.6 Contra 60.4 61.5 Monks-1 92.6 100.0 Monks-2 86.5 89.3 Monks-3 89.8 91.7 Table 4: Accuracies of ID3 and ID3 with";41
1;"05B3ECF5190D3EA19BA9B7DBE8793118D0238D1B";"5bffb4d591b37fc0c1011681ab2cf075033ca539";"Anton Schwaighofer and Volker Tresp";"Transductive and Inductive Methods for Approximate Gaussian Process Regression";"NIPS";"2002";"costs for predictions show the cost per test point. 4 Experimental Comparison In this section we will present a comparison of the different approximation methods discussed in Sec. 3. In the <b>ABALONE</b> data set [1] with 4177 examples, the goal is to predict the age of Abalones based on 8 inputs. The KIN8NM data set 2 represents the forward dynamics of an 8 link all-revolute robot arm, based on 8192";42
53;"06ACDBD2F69221EDC16B27650F29CBAE556242B6";"490ddcab7a72db65c0752abf46f5692f53e6bedf";"Huan Li and Wenbin Chen";"Supervised Local Tangent Space Alignment for Classification";" I-Fan Shen";"";"containing multiple classes. The results obtained with the unsupervised and supervised LTSA are expected to be different as is shown in Fig.1. The <b>iris</b> data set [Blake and Merz, 1998] includes 150 4-D data belonging to 3 different classes. Here first 100 data points are selected as training samples and mapped from the 4-D input space to a 2-D feature space";43
56;"06BE354DB398057D6E61C72B9D03C0F3ED398D50";"0f5d89b69b182e7d068733e49bc056afc4e64e02";"Rudy Setiono";"Feedforward Neural Network Construction Using Cross Validation";"Neural Computation, 13";"2001";"and the test set. The average number of hidden units ranged from 2.46 for the <b>labor</b> data set to 19.44 for the soybean data set. Most of the networks for the latter data set contain the maximum 20 hidden units. It might be possible to improve the overall predictive accuracy of these networks";44
90;"06BE354DB398057D6E61C72B9D03C0F3ED398D50";"0f5d89b69b182e7d068733e49bc056afc4e64e02";"Rudy Setiono";"Feedforward Neural Network Construction Using Cross Validation";"Neural Computation, 13";"2001";"and the test set. The average number of hidden units ranged from 2.46 for the labor data set to 19.44 for the <b>soybean</b> data set. Most of the networks for the latter data set contain the maximum 20 hidden units. It might be possible to improve the overall predictive accuracy of these networks";45
91;"06BE354DB398057D6E61C72B9D03C0F3ED398D50";"0f5d89b69b182e7d068733e49bc056afc4e64e02";"Rudy Setiono";"Feedforward Neural Network Construction Using Cross Validation";"Neural Computation, 13";"2001";"and the test set. The average number of hidden units ranged from 2.46 for the labor data set to 19.44 for the <b>soybean</b> data set. Most of the networks for the latter data set contain the maximum 20 hidden units. It might be possible to improve the overall predictive accuracy of these networks";46
105;"0756CD080BDDC5EA0DAF92978CDE03882601FEF1";"47f4421e112679b98c4ccf604a351b54fbb7a000";"Huan Liu and Rudy Setiono";"Incremental Feature Selection";"Appl. Intell, 9";"1998";"critical evaluation of intrinsic dimensionality algorithms. In E.S. Gelsema and Kanal L.N., editors, Pattern Recognition in Practice, pages 415--425. Morgan Kaufmann Publishers, Inc., 1980. 19 <b>Vote dataset</b> CPU time Percent of training samples 20.00 22.00 24.00 26.00 28.00 30.00 32.00 34.00 36.00 0.00 20.00 40.00 60.00 80.00 100.00 Mushroom dataset CPU time Percent of training samples 10.00 15.00 20.00";47
57;"0756CD080BDDC5EA0DAF92978CDE03882601FEF1";"47f4421e112679b98c4ccf604a351b54fbb7a000";"Huan Liu and Rudy Setiono";"Incremental Feature Selection";"Appl. Intell, 9";"1998";"60 80 100 120 140 160 180 200 220 0.00 20.00 40.00 60.00 80.00 100.00 240 CPU time Percent of training samples <b>LED dataset</b> CPU time Percent of training samples 100 200 300 400 500 600 700 800 900 1000 0.00 20.00 40.00 60.00 80.00 100.00 Figure 1: Average CPU time (seconds). The result for 100% data is used as the";48
